trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id,delay_id
bus_trip_0004001062023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1638
bus_trip_0004001072023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1639
bus_trip_0004001082023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1640
bus_trip_0004001092023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1641
bus_trip_0004001102023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1642
bus_trip_0004001112023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1643
bus_trip_0004001122023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1644
bus_trip_0004001132023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1645
bus_trip_0004001142023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1646
bus_trip_0004001152023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1647
bus_trip_0004001162023091120240611,3,bus_route_396,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1648
bus_trip_0004001172023091120240611,3,bus_route_402,D651_T0718_Ritorno_sub1,1,"Gardolo ""Materna Paludi""",1111110,bus_stop_283,delay_1649
bus_trip_0004001182023091120240611,3,bus_route_402,D650_T0716_Ritorno_sub1,1,"Gardolo ""Materna Paludi""",1111100,bus_stop_301,delay_1650
bus_trip_0004001192023091120240611,3,bus_route_402,D650_T0716_Ritorno_sub1,1,"Gardolo ""Materna Paludi""",1111100,bus_stop_301,delay_1651
bus_trip_0004001202023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1652
bus_trip_0004001212023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1653
bus_trip_0004001222023091120240611,3,bus_route_402,D648_T0714_Ritorno_sub1,1,"Gardolo ""Materna Paludi""",1111110,bus_stop_350,delay_1654
bus_trip_0004001242023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1655
bus_trip_0004001252023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1656
bus_trip_0004001262023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1657
bus_trip_0004001272023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1658
bus_trip_0004001282023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1659
bus_trip_0004001292023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1660
bus_trip_0004001302023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1661
bus_trip_0004001312023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111100,bus_stop_350,delay_1662
bus_trip_0004001322023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1663
bus_trip_0004001332023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1664
bus_trip_0004001342023091120240611,3,bus_route_402,D638_T0704_Ritorno_PRINCIPALE_sub1,1,Canova Paludi,1111110,bus_stop_350,delay_1665
