id,longitude,latitude
504,11.12256,46.085501
505,11.121282,46.087949
506,11.120936,46.089979
507,11.119067,46.091908
508,11.119846,46.092684
509,11.120643,46.094565
510,11.119861,46.097222
511,11.119185,46.099084
512,11.118229,46.10231
513,11.117561,46.103947
514,11.114361,46.106764
515,11.150611,46.06394
516,11.150437,46.067072
517,11.109908,46.071095
518,11.114109,46.077012
519,11.127737,46.060738
520,11.127597,46.060778
521,11.122615,46.058788
522,11.11678,46.077447
523,11.114967,46.076349
524,11.115546,46.073543
525,11.111076,46.077321
526,11.069564,46.085069
527,11.064273,46.083412
528,11.058123,46.078588
529,11.112535,46.085714
530,11.110639,46.087967
531,11.109059,46.089845
532,11.10749,46.091766
533,11.105189,46.094442
534,11.102563,46.097554
535,11.101782,46.100975
536,11.100544,46.105349
537,11.100457,46.107354
538,11.102043,46.082085
539,11.10342,46.079042
540,11.105151,46.076104
541,11.107483,46.075279
542,11.107375,46.073141
543,11.151494,46.043679
544,11.149783,46.043555
545,11.14899,46.046644
546,11.148399,46.050756
547,11.107385,46.073335
548,11.107078,46.075623
549,11.104958,46.07629
550,11.103643,46.078838
551,11.102631,46.081347
552,11.100622,46.118234
553,11.10365,46.118038
554,11.105645,46.091588
555,11.094582,46.102289
556,11.092329,46.106315
557,11.0917,46.108429
558,11.090882,46.111248
559,11.090281,46.113317
560,11.092475,46.117025
561,11.096486,46.119932
562,11.095136,46.12167
563,11.097434,46.123565
564,11.098119,46.125825
565,11.096713,46.127053
566,11.129707,46.068199
567,11.130962,46.069698
568,11.130726,46.071437
569,11.129844,46.072479
570,11.1284,46.073035
571,11.130338,46.076532
572,11.131799,46.077053
573,11.135279,46.074105
574,11.134081,46.048622
575,11.128289,46.072081
576,11.109623,46.137002
577,11.106338,46.040947
578,11.098368,46.125528
579,11.095087,46.121606
580,11.096254,46.120106
581,11.092401,46.117063
582,11.090192,46.113255
583,11.090792,46.111195
584,11.091621,46.108338
585,11.092271,46.106112
586,11.094798,46.101861
587,11.113139,46.041193
588,11.113645,46.04553
589,11.112007,46.05237
590,11.14899,46.055301
591,11.104356,46.014251
592,11.104968,46.01213
593,11.106708,46.014549
594,11.108234,46.016465
595,11.110896,46.020034
596,11.111746,46.029257
597,11.112917,46.032559
598,11.114081,46.037956
599,11.111615,46.039047
600,11.115712,46.0469
601,11.117311,46.051317
602,11.11704,46.052905
603,11.116193,46.05639
604,11.115188,46.067711
605,11.112191,46.069586
606,11.115398,46.069134
607,11.121924,46.067729
608,11.11886,46.076443
609,11.116905,46.090371
610,11.115725,46.090351
611,11.124582,46.070512
612,11.123649,46.068338
613,11.122436,46.069676
614,11.122377,46.067982
615,11.122649,46.066126
616,11.120203,46.068319
617,11.122419,46.070468
618,11.122687,46.066091
619,11.121218,46.068349
620,11.111055,46.070465
621,11.125174,46.067253
622,11.120397,46.068923
623,11.124869,46.067891
624,11.121686,46.067813
625,11.1243,46.069278
626,11.119371,46.070782
627,11.122861,46.068265
628,11.125784,46.066659
629,11.125188,46.072518
630,11.123254,46.069838
631,11.122198,46.067959
632,11.123781,46.069729
633,11.122917,46.069034
634,11.122485,46.068995
635,11.123987,46.06832
636,11.123784,46.069983
637,11.12395,46.070679
638,11.11829,46.069265
639,11.124757,46.068742
640,11.123829,46.068767
641,11.121599,46.067819
642,11.123611,46.06781
643,11.11822,46.069621
644,11.121412,46.068582
645,11.112432,46.0706
646,11.126665,46.067715
647,11.123222,46.07079
648,11.123634,46.076982
649,11.124996,46.072415
650,11.122796,46.06818
651,11.124621,46.070922
652,11.123098,46.065611
653,11.119362,46.070843
654,11.120128,46.068626
655,11.123044,46.065716
656,11.120297,46.072443
657,11.122565,46.066265
658,11.122706,46.066028
659,11.120795,46.068023
660,11.12293,46.066278
661,11.12532,46.067984
662,11.122484,46.068367
663,11.119229,46.076146
664,11.124973,46.068444
665,11.125381,46.072693
666,11.120261,46.068268
667,11.120802,46.067722
668,11.122541,46.068127
669,11.123001,46.067781
670,11.124356,46.069857
671,11.123688,46.068802
672,11.121387,46.068648
673,11.122592,46.06623
674,11.127538,46.069388
675,11.123489,46.069838
676,11.124701,46.070406
677,11.125012,46.068086
678,11.127241,46.069318
679,11.119229,46.076608
680,11.122397,46.066679
681,11.124057,46.070408
682,11.115256,46.073828
683,11.123131,46.069837
684,11.122476,46.066579
685,11.122867,46.074474
686,11.125848,46.07095
687,11.123858,46.068015
688,11.124305,46.067139
689,11.12486,46.068828
690,11.124107,46.068512
