id,name,product_category,store_name,points
675,CENTRO STORICO PIEDICASTELLO,,LA NUOVA TERMOIDRAULICA SRL,POINT (11.107876 46.087241)
676,CENTRO STORICO PIEDICASTELLO,MATERIALE DA COSTRUZIONE,WOODCO SOCIETA' COOPERATIVA,POINT (11.106781 46.08967)
677,CENTRO STORICO PIEDICASTELLO,OTTICA-FOTOGRAFIA-CINEMATOGRAFIA-STRUMEN,ANCORA MARISA,POINT (11.121204 46.088833)
678,CENTRO STORICO PIEDICASTELLO,AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI,AUTOSTEREO SAS DI LEONARDI FABIO  & C.,POINT (11.121204 46.088833)
679,CENTRO STORICO PIEDICASTELLO,nan,REGINA S.R.L.,POINT (11.109266 46.088465)
680,CENTRO STORICO PIEDICASTELLO,ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.,REGINA S.R.L.,POINT (11.109266 46.088465)
681,CENTRO STORICO PIEDICASTELLO,PITTURE E VERNICI,FRISANCO F.LLLI S.A.S. DI FRISANCO STEFANO & C.,POINT (11.110134 46.088777)
682,CENTRO STORICO PIEDICASTELLO,PITTURE E VERNICI,FRISANCO F.LLI S.A.S. DI FRISANCO STEFANO & C.,POINT (11.110134 46.088777)
683,CENTRO STORICO PIEDICASTELLO,,PULISTAR SERVIZI S.P.A.,POINT (11.112506 46.092848)
684,CENTRO STORICO PIEDICASTELLO,,CANEPARI GIANLUCA S.R.L.,POINT (11.127828 46.070178)
685,CENTRO STORICO PIEDICASTELLO,ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE,ELBIR HABIBA,POINT (11.115235 46.090145)
686,CENTRO STORICO PIEDICASTELLO,GIORNALI-RIVISTE E PERIODICI,GARBIN LAURA,POINT (11.119647 46.077495)
687,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,IDEE MODA S.A.S. DI NARDELLI ILARIA & C.,POINT (11.119443 46.077643)
688,CENTRO STORICO PIEDICASTELLO,,MONDIAL PNEUS S.R.L.,POINT (11.106419 46.090848)
689,CENTRO STORICO PIEDICASTELLO,MATERIALE DA COSTRUZIONE,INARTE PROJECTS DESIGNES & SERVICES SAS,POINT (11.114369 46.089402)
690,CENTRO STORICO PIEDICASTELLO,ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A,CISALFA SPORT SPA,POINT (11.114648 46.091117)
691,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,CISALFA SPORT SPA,POINT (11.114648 46.091117)
692,CENTRO STORICO PIEDICASTELLO,,LEVEL SRL,POINT (11.111372 46.093115)
