WKT;tipo;settore;descr;strada;desvia;civico_alf;merceologia;sup_vend;nome;codice;fumetto
"POINT (664810.501523564 5103336.42610298)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"1890";VIA MILANO;"55";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;1;BONAPACE DONATELLA;"46445";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA MILANO, 55"
"POINT (664405.298615904 5103650.73113227)";;NON ALIMENTARE;;"2750";VIA S. FRANCESCO D'ASSISI;"10";;0;RAUZIER ANVARTI S.R.L.;"47611";
"POINT (664405.298615904 5103650.73113227)";;NON ALIMENTARE;;"2750";VIA S. FRANCESCO D'ASSISI;"10";;0;DIMEDICS S.R.L.;"45584";
"POINT (664405.298615904 5103650.73113227)";;NON ALIMENTARE;;"2750";VIA S. FRANCESCO D'ASSISI;"10";;0;BUONCONSIGLIO TRADING S.R.L.;"43229";
"POINT (664405.298615904 5103650.73113227)";;NON ALIMENTARE;;"2750";VIA S. FRANCESCO D'ASSISI;"10";;0;HAEMP S.R.L.;"38732";
"POINT (664405.298615904 5103650.73113227)";;NON ALIMENTARE;;"2750";VIA S. FRANCESCO D'ASSISI;"10";;0;ELI POWER S.R.L. SEMPLIFICATA;"34101";
"POINT (664117.386539615 5102949.68681806)";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;ALIMENTARE E NON ALIMENTARE;BEVANDE CONFEZIONATE;"2330";VIA F.LLI PERINI;"135";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;39;ODORIZZI DANIELE;"24419";"ART.PER RIVENDITE DI GENERI DI MONOPOLIO - VIA F.LLI PERINI, 135"
"POINT (664117.386539615 5102949.68681806)";GIORNALI-RIVISTE E PERIODICI;;;"2330";VIA F.LLI PERINI;"135";GIORNALI-RIVISTE E PERIODICI;39;ODORIZZI DANIELE;"24370";"GIORNALI-RIVISTE E PERIODICI - VIA F.LLI PERINI, 135"
"POINT (664341.7668422 5104300.44948947)";LIBRI NUOVI;ALIMENTARE E NON ALIMENTARE;CARTOLERIA;"2820";VIA SAN MARTINO;"78";LIBRI NUOVI;55;DUE PUNTI S.R.L. SOCIETA' BENEFIT;"38864";"LIBRI NUOVI - VIA SAN MARTINO, 78"
"POINT (664341.7668422 5104300.44948947)";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";ALIMENTARE E NON ALIMENTARE;;"2820";VIA SAN MARTINO;"78";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";55;DUE PUNTI S.R.L. SOCIETA' BENEFIT;"38864";"BEVANDE (VINI, OLI, BIRRA ED ALTRE) - VIA SAN MARTINO, 78"
"POINT (664200.221738127 5103998.74930129)";CALZATURE E ARTICOLI IN CUOIO;NON ALIMENTARE;;"1700";VIA G. MANCI;"46";CALZATURE E ARTICOLI IN CUOIO;51;ERRE. PI. DI PEDROTTI RAFFAELE S.A.S.;"13680";"CALZATURE E ARTICOLI IN CUOIO - VIA G. MANCI, 46"
"POINT (664124.091178451 5103787.76186869)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;ABBIGLIAMENTO E ACCESSORI;"2270";PIAZZA M. PASI;"12";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;100;ORIGINAL MARINES S.P.A.;"39414";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - PIAZZA M. PASI, 12"
"POINT (664241.250814367 5103987.66601982)";MOBILI;NON ALIMENTARE;"MATERASSI, ACCESSORI PER LA CASA, ECC.";"2240";GALLERIA DEI PARTIGIANI;"6";MOBILI;90;TRAPUNTIFICIO C.A.T. S.R.L.;"40965";"MOBILI - GALLERIA DEI PARTIGIANI, 6"
"POINT (664176.487102645 5103908.64615575)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"930";VIA A. DIAZ;"10";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;23;MURGIA MARIA LIVIA;"47230";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA A. DIAZ, 10"
"POINT (664468.847836765 5103081.55193082)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"2520";VIA G. A PRATO;22/2;COMMERCIO AL DETTAGLIO DEI MINIMERCATI;160;L'ORIGINE S.R.L.;"13148";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - VIA G. A PRATO, 22/2"
"POINT (663678.20437976 5102503.98066588)";;NON ALIMENTARE;;"1310";VIA DELLE GHIAIE;8/1;;0;EKKO SRL;"44697";
"POINT (664143.199929003 5103903.49490782)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"2180";VIA P. OSS MAZZURANA;"28";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;228;MATRIXX S.R.L.;"32711";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA P. OSS MAZZURANA, 28"
"POINT (664261.393987644 5103831.60135686)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"610";LARGO G. CARDUCCI;"2";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;35;LUSH ITALIA S.R.L.;"24398";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - LARGO G. CARDUCCI, 2"
"POINT (664240.758058683 5104015.94022074)";CALZATURE E ARTICOLI IN CUOIO;NON ALIMENTARE;;"1700";VIA G. MANCI;"73";CALZATURE E ARTICOLI IN CUOIO;428;DEICHMANN CALZATURE S.R.L.;"45363";"CALZATURE E ARTICOLI IN CUOIO - VIA G. MANCI, 73"
"POINT (664251.534472993 5104093.58061758)";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;NON ALIMENTARE;;"3520";VICOLO DEL VO';"64";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;41;CICLI E MOTOCICLI F.LLI BAZZANELLA DI BAZZANELLA S. & C. SNC;"32675";"AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI - VICOLO DEL VO', 64"
"POINT (663817.995816157 5103924.83411085)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"2530";VIA DELLA PREPOSITURA;"32";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;172;ZHOU SUILI;"47208";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - VIA DELLA PREPOSITURA, 32"
"POINT (664319.655248685 5103880.04165125)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;"E ARTICOLI DI PROFUMERIA, ACCESSORI, ECC.";"2100";VIA DEGLI ORBI;"17";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;34;GRECO ALESSANDRO;"43304";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA DEGLI ORBI, 17"
"POINT (664247.821785644 5103880.92011905)";ELETTRONICA- DISCHI E NASTRI VIDEO;NON ALIMENTARE;TELEFONIA ED ACCESSORI;"2910";VIA DEL SIMONINO;"13";ELETTRONICA- DISCHI E NASTRI VIDEO;48;MAGLIOCCA ADRIANA;"31849";"ELETTRONICA- DISCHI E NASTRI VIDEO - VIA DEL SIMONINO, 13"
